hotel_name,smile_lr,overall,avg_rev,smile_n,overall_n,avgrev_n,face_score,face_emoji
Meltem Hanım Konağı butik otel ve Restoran,0.9,4.5,4.8,0.9,0.7727272727272727,0.95,0.8718181818181818,😄
Menteşede Oteller | Karya Apart Otel,0.8,3.7,3.2,0.8,0.40909090909090917,0.55,0.6327272727272727,😐
Mercan Apart Akyaka,1.0,4.4,3.7,1.0,0.7272727272727273,0.675,0.8531818181818182,😄
Merve Han Residence Hotel,0.3,3.3,2.7,0.3,0.22727272727272707,0.42500000000000004,0.3031818181818181,😞
Mevsim Apart,1.0,4.4,4.666666666666667,1.0,0.7272727272727273,0.9166666666666667,0.9015151515151515,😄
Mevsim Apart - Akyaka Apart,0.8,4.1,4.4,0.8,0.5909090909090906,0.8500000000000001,0.7472727272727272,😄
Mevsim Otel - Akyaka Otel,0.2,3.6,2.2,0.2,0.36363636363636354,0.30000000000000004,0.26909090909090905,😞
Mimoza Pansiyon,0.5,3.7,3.3,0.5,0.40909090909090917,0.575,0.48772727272727273,😐
Mira Apart,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Mosso Boutique Hotel,1.0,4.0,4.555555555555555,1.0,0.5454545454545454,0.8888888888888888,0.8414141414141414,😄
Moğla Taşhan otel,0.8,4.4,3.8,0.8,0.7272727272727273,0.7,0.7581818181818182,😄
Muğla Hotel,0.75,4.2,3.5,0.75,0.6363636363636365,0.625,0.6909090909090909,😄
Nehir Apart Otel,1.0,4.5,4.2,1.0,0.7727272727272727,0.8,0.8918181818181818,😄
Nehir Butik Otel,1.0,4.8,4.3,1.0,0.909090909090909,0.825,0.9377272727272727,😄
No22 Riders'Inn,0.8,4.3,3.4,0.8,0.6818181818181817,0.6,0.7245454545454545,😄
Nova Aparts Otel,1.0,4.7,4.666666666666667,1.0,0.8636363636363635,0.9166666666666667,0.9424242424242424,😄
NİL HOTEL,0.5,4.1,2.9,0.5,0.5909090909090906,0.475,0.5222727272727271,😐
Orkide Apart Hotel,1.0,4.3,4.5,1.0,0.6818181818181817,0.875,0.8795454545454545,😄
Otel Arın,1.0,4.4,5.0,1.0,0.7272727272727273,1.0,0.9181818181818182,😄
PORTOFİNO APART ŞUBE,1.0,5.0,5.0,1.0,0.9999999999999998,1.0,1.0,😄
Padok Premium Hotel & Stables,0.8,4.1,3.8,0.8,0.5909090909090906,0.7,0.7172727272727272,😄
Palmiye Apart Otel,1.0,4.7,4.6,1.0,0.8636363636363635,0.8999999999999999,0.939090909090909,😄
Panamara Otel,1.0,4.6,3.5,1.0,0.8181818181818181,0.625,0.8704545454545454,😄
Panamare Apart & Hotel Akyaka,0.6,4.6,3.6,0.6,0.8181818181818181,0.65,0.6754545454545454,😄
Petek Hotel,0.8,3.9,3.4,0.8,0.5,0.6,0.67,😄
Raymar Hotels Muğla,1.0,4.7,4.9,1.0,0.8636363636363635,0.9750000000000001,0.9540909090909091,😄
Renklice Apart Evler,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Santo Akyaka Home,0.5263157894736842,4.1,2.9473684210526314,0.5263157894736842,0.5909090909090906,0.48684210526315785,0.5377990430622008,😐
Server Apart Hotel,1.0,4.4,4.5,1.0,0.7272727272727273,0.875,0.8931818181818182,😄
Sezgin Apart,1.0,5.0,5.0,1.0,0.9999999999999998,1.0,1.0,😄
Shimal Residences & Hotel,0.8,4.5,4.1,0.8,0.7727272727272727,0.7749999999999999,0.7868181818181819,😄
Su Apart Otel Akyaka,0.7,4.180000000000001,3.2,0.7,0.6272727272727274,0.55,0.6481818181818182,😐
Summer Otel,0.7,4.0,3.8,0.7,0.5454545454545454,0.7,0.6536363636363636,😐
TN&CO Exclusive CIP Suites/Primeclass Rooms,0.9,4.4,4.3,0.9,0.7272727272727273,0.825,0.8331818181818182,😄
Teras Tepe Apart,0.6,3.7,3.4,0.6,0.40909090909090917,0.6,0.5427272727272727,😐
Totelya Hotel,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Tuna Otel,1.0,4.2,3.8,1.0,0.6363636363636365,0.7,0.8309090909090909,😄
Tuna Otel Rezidans,1.0,4.4,3.4,1.0,0.7272727272727273,0.6,0.8381818181818181,😄
Tuncer Otel,0.7,3.6,3.6,0.7,0.36363636363636354,0.65,0.5890909090909091,😐
Ugur Apart Hotel,0.6,4.2,3.2,0.6,0.6363636363636365,0.55,0.600909090909091,😐
Uğurevler Apart,0.8,3.9,4.4,0.8,0.5,0.8500000000000001,0.7200000000000001,😄
Verde Suites Akyaka,0.9,4.8,4.6,0.9,0.909090909090909,0.8999999999999999,0.9027272727272726,😄
XOX Apart Hotel,1.0,4.8,5.0,1.0,0.909090909090909,1.0,0.9727272727272727,😄
YAKABÜK TİNY HOUSE PANSİYON,1.0,4.9,5.0,1.0,0.9545454545454548,1.0,0.9863636363636363,😄
Yakabük Otel & Restaurant,1.0,4.9,4.8,1.0,0.9545454545454548,0.95,0.9763636363636363,😄
Yatu Apart Otel,1.0,4.4,4.0,1.0,0.7272727272727273,0.75,0.8681818181818182,😄
Yelken Hotel Akyaka,1.0,4.5,4.4,1.0,0.7727272727272727,0.8500000000000001,0.9018181818181819,😄
Yener Apart,0.9,4.1,4.4,0.9,0.5909090909090906,0.8500000000000001,0.7972727272727272,😄
Yeni sıtar apart,0.3,3.5,2.0,0.3,0.3181818181818181,0.25,0.2954545454545454,😞
Yenice Vadi,0.9,4.4,4.2,0.9,0.7272727272727273,0.8,0.8281818181818182,😄
Yücelen Otel Akyaka,1.0,4.3,4.1,1.0,0.6818181818181817,0.7749999999999999,0.8595454545454545,😄
belgin pansiyon,1.0,4.3,4.8,1.0,0.6818181818181817,0.95,0.8945454545454545,😄
portofino apart,0.6,4.3,3.0,0.6,0.6818181818181817,0.5,0.6045454545454545,😐
villa vali Akyaka Apart,1.0,4.6,4.2,1.0,0.8181818181818181,0.8,0.9054545454545454,😄
ÇALCALAR OTEL,1.0,4.7,4.8,1.0,0.8636363636363635,0.95,0.949090909090909,😄
İNCİLİ PANSİYON-OTEL-APART,1.0,4.7,5.0,1.0,0.8636363636363635,1.0,0.959090909090909,😄
İnci Apart,0.5,4.4,2.1,0.5,0.7272727272727273,0.275,0.5231818181818182,😐
İskelem Butik Otel,1.0,4.6,4.8,1.0,0.8181818181818181,0.95,0.9354545454545453,😄
İzethan Hotel,0.7,3.7,3.4,0.7,0.40909090909090917,0.6,0.5927272727272728,😐
