hotel_name,image_url
Alp Suites Pinehill,https://images.unsplash.com/photo-1526028084906-e452e1b1c737?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbHAlMjBTdWl0ZXMlMjBQaW5laGlsbHxlbnwwfHx8fDE3NDc4NjM0MjN8MA&ixlib=rb-4.1.0&q=80&w=1080
Alp Suites Safran,https://images.unsplash.com/photo-1526028084906-e452e1b1c737?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbHAlMjBTdWl0ZXMlMjBTYWZyYW58ZW58MHx8fHwxNzQ3ODYzNDI2fDA&ixlib=rb-4.1.0&q=80&w=1080
Amber Suites Akyaka,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbWJlciUyMFN1aXRlcyUyMEFreWFrYXxlbnwwfHx8fDE3NDc4NjM0Mjh8MA&ixlib=rb-4.1.0&q=80&w=1080
Anayurt Oteli Akyaka,https://images.unsplash.com/photo-1682882536887-87b6e9524cc7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbmF5dXJ0JTIwT3RlbGklMjBBa3lha2F8ZW58MHx8fHwxNzQ3ODYzNDI5fDA&ixlib=rb-4.1.0&q=80&w=1080
AnkAkyaka Apart Hotel,https://images.unsplash.com/photo-1445991842772-097fea258e7b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBbmtBa3lha2ElMjBBcGFydCUyMEhvdGVsfGVufDB8fHx8MTc0Nzg2MzQzMHww&ixlib=rb-4.1.0&q=80&w=1080
Ayka Otel,https://images.unsplash.com/photo-1729474970592-8af0ec917d9f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBeWthJTIwT3RlbHxlbnwwfHx8fDE3NDc4NjM0MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080
AŞKYAKA APART - SADECE SEZONLUK DAİRE KİRALIYORUZ,https://images.unsplash.com/photo-1616424525183-4042d746ac85?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxBJUM1JTlFS1lBS0ElMjBBUEFSVCUyMC0lMjBTQURFQ0UlMjBTRVpPTkxVSyUyMERBJUM0JUIwUkUlMjBLJUM0JUIwUkFMSVlPUlVafGVufDB8fHx8MTc0Nzg2MzQzMnww&ixlib=rb-4.1.0&q=80&w=1080
BEACON HILL SUITES,https://images.unsplash.com/photo-1613937597092-031e80b5fab8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxCRUFDT04lMjBISUxMJTIwU1VJVEVTfGVufDB8fHx8MTc0Nzg2MzQzM3ww&ixlib=rb-4.1.0&q=80&w=1080
Balèze Boutique Hotel,https://images.unsplash.com/photo-1445991842772-097fea258e7b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxCYWwlQzMlQTh6ZSUyMEJvdXRpcXVlJTIwSG90ZWx8ZW58MHx8fHwxNzQ3ODYzNDM1fDA&ixlib=rb-4.1.0&q=80&w=1080
Berlin Apart pansiyo,https://images.unsplash.com/photo-1528728329032-2972f65dfb3f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxCZXJsaW4lMjBBcGFydCUyMHBhbnNpeW98ZW58MHx8fHwxNzQ3ODYzNDM2fDA&ixlib=rb-4.1.0&q=80&w=1080
