hotel_name,breakfast_quality,cleanliness,pool_beach,room_facilities,overall_rating,subaspect_pca1
Menteşede Oteller | Karya Apart Otel,0.8,0.8,0.8,0.8,3.7,-0.047754624327738734
Mercan Apart Akyaka,0.5,0.7,0.5,0.6,4.4,0.40444920924423816
Merve Han Residence Hotel,0.5,0.4,0.5,0.4,3.3,0.6510956535137811
Mevsim Apart,1.0,1.0,1.0,1.0,4.4,-0.4476124587445622
Mevsim Apart - Akyaka Apart,0.9,1.0,0.9,1.0,4.1,-0.34674706775243463
Mevsim Otel - Akyaka Otel,0.6,0.6,0.6,0.5,3.6,0.4026473444683946
Mimoza Pansiyon,0.6,0.6,0.6,0.7,3.7,0.3015590757097755
Mira Apart,1.0,1.0,1.0,1.0,4.9,-0.4476124587445622
Mosso Boutique Hotel,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.6666666666666666,4.0,0.05607189292538107
Moğla Taşhan otel,0.7,0.8,0.6,0.8,4.4,0.10500043601386078
Muğla Hotel,0.75,0.75,0.75,0.75,4.2,0.052209834276467276
Nehir Apart Otel,0.9,0.9,0.9,0.9,4.5,-0.24768354153615055
Nehir Butik Otel,0.8,0.8,0.8,0.8,4.8,-0.047754624327738734
No22 Riders'Inn,0.7,0.7,0.7,0.8,4.3,0.10163015850136367
Nova Aparts Otel,0.9,0.9,0.9,0.9,4.7,-0.24768354153615055
NİL HOTEL,0.4,0.5,0.4,0.4,4.1,0.7034416526689341
Orkide Apart Hotel,0.9,0.9,0.9,0.8,4.3,-0.19713940715684097
Otel Arın,1.0,1.0,1.0,1.0,4.4,-0.4476124587445622
PORTOFİNO APART ŞUBE,1.0,1.0,1.0,1.0,5.0,-0.4476124587445622
Padok Premium Hotel & Stables,0.6,0.8,0.7,0.6,4.1,0.20317475706566424
Palmiye Apart Otel,0.8,0.8,0.8,0.8,4.7,-0.047754624327738734
Panamara Otel,0.6,0.7,0.7,0.7,4.6,0.20115001452332928
Panamare Apart & Hotel Akyaka,0.6,0.6,0.5,0.6,4.6,0.40399287943855683
Petek Hotel,0.7,0.8,0.6,0.7,3.9,0.15554457039317043
Raymar Hotels Muğla,0.9,1.0,1.0,1.0,4.7,-0.3986367371019064
Renklice Apart Evler,1.0,1.0,1.0,0.9,4.9,-0.3970683243652527
Santo Akyaka Home,0.5263157894736842,0.631578947368421,0.4210526315789473,0.5263157894736842,4.1,0.5029669148873857
Server Apart Hotel,0.8,0.8,0.8,0.9,4.4,-0.0982987587070483
Sezgin Apart,0.5,0.5,0.5,0.5,5.0,0.552032127297497
Shimal Residences & Hotel,0.8,0.8,0.8,0.8,4.5,-0.047754624327738734
Su Apart Otel Akyaka,0.6,0.6,0.5,0.6,4.180000000000001,0.40399287943855683
Summer Otel,0.6,0.7,0.7,0.7,4.0,0.20115001452332928
TN&CO Exclusive CIP Suites/Primeclass Rooms,0.8,0.8,0.8,0.8,4.4,-0.047754624327738734
Teras Tepe Apart,0.4,0.4,0.4,0.4,3.7,0.7519610445059088
Totelya Hotel,1.0,1.0,0.9,1.0,4.9,-0.3957227893950906
Tuna Otel,0.8,1.0,1.0,0.9,4.2,-0.29911688107994083
Tuna Otel Rezidans,0.7,0.7,0.7,0.7,4.4,0.1521742928806733
Tuncer Otel,1.0,1.0,1.0,1.0,3.6,-0.4476124587445622
Ugur Apart Hotel,0.6,0.8,0.7,0.6,4.2,0.20317475706566424
Uğurevler Apart,0.8,0.7,0.7,0.7,3.9,0.10319857123801726
Verde Suites Akyaka,0.8,0.8,0.8,0.8,4.8,-0.047754624327738734
XOX Apart Hotel,1.0,1.0,1.0,1.0,4.8,-0.4476124587445622
